Código;Nome;Valor
2900405;Água Fria;7.418
2900108;Aba�ra;4.388
2900207;Abar�;6.067
2900306;Acajutiba;11.345
2900355;Adustina;15.344
2900603;Aiquara;8.499
2900702;Alagoinhas;8.032
2900801;Alcobaça;26.692
2900900;Almadina;8.711
2901106;Am�lia Rodrigues;5.474
2901155;Am�rica Dourada;9.409
2901007;Amargosa;21.086
2901205;Anag�;19.224
2901304;Andaraí;14.067
2901353;Andorinha;15.992
2901403;Angical;58.026
2901502;Anguera;5.579
2901700;Ant�nio Cardoso;10.017
2901809;Ant�nio Gonçalves;5.422
2901601;Antas;17.434
2901908;Aporá;25.205
2901957;Apuarema;2.476
2902054;Araças;5.298
2902005;Aracatu;28.199
2902104;Araci;18.004
2902203;Aramari;5.924
2902252;Arataca;708
2902302;Aratuípe;4.303
2902401;Aurelino Leal;22.701
2902500;Baianópolis;37.097
2902609;Baixa Grande;28.818
2902658;Banzaê;8.507
2902708;Barra;17.448
2902807;Barra da Estiva;13.798
2902906;Barra do Choça;23.349
2903003;Barra do Mendes;11.049
2903102;Barra do Rocha;5.625
2903201;Barreiras;44.407
2903235;Barro Alto;5.517
2903300;Barro Preto;5.331
2903276;Barrocas;3.832
2903409;Belmonte;34.213
2903508;Belo Campo;7.925
2903607;Biritinga;9.446
2903706;Boa Nova;13.698
2903805;Boa Vista do Tupim;43.753
2903904;Bom Jesus da Lapa;40.363
2903953;Bom Jesus da Serra;5.699
2904001;Boninal;8.386
2904050;Bonito;6.502
2904100;Boquira;19.314
2904209;Botuporã;15.910
2904308;Brejões;7.202
2904407;Brejolândia;48.737
2904506;Brotas de Maca�bas;10.058
2904605;Brumado;36.557
2904704;Buerarema;3.382
2904753;Buritirama;19.490
2906709;Cândido Sales;10.483
2905107;Ca�m;13.658
2904803;Caatiba;27.800
2904852;Cabaceiras do Paraguaçu;4.982
2907806;Cícero Dantas;31.501
2904902;Cachoeira;10.692
2905008;Cacul�;12.776
2905156;Caetanos;11.025
2905206;Caetit�;24.875
2905305;Cafarnaum;5.627
2905404;Cairu;44
2905503;Caldeirão Grande;10.609
2905701;Camaçari;4.197
2905602;Camacan;10.714
2905800;Camamu;1.589
2905909;Campo Alegre de Lourdes;16.780
2906006;Campo Formoso;30.622
2906105;Canápolis;15.623
2906204;Canarana;7.633
2906303;Canavieiras;41.333
2906402;Candeal;10.150
2906501;Candeias;3.950
2906600;Candiba;17.402
2906808;Cansanção;16.680
2906824;Canudos;8.340
2906857;Capela do Alto Alegre;19.856
2906873;Capim Grosso;9.271
2906899;Caraíbas;13.737
2906907;Caravelas;33.775
2907004;Cardeal da Silva;3.440
2907103;Carinhanha;45.658
2907202;Casa Nova;23.022
2907301;Castro Alves;17.516
2907400;Catolândia;7.988
2907509;Catu;10.163
2907558;Caturama;16.931
2907608;Central;2.684
2907707;Chorrochó;5.450
2907905;Cipó;3.968
2908002;Coaraci;9.375
2908101;Cocos;36.295
2908200;Conceição da Feira;5.240
