Código;Nome;Valor
2100105;Afonso Cunha;730
2100204;Alcântara;2.199
2100303;Aldeias Altas;3.938
2100402;Altamira do Maranhão;24.380
2100436;Alto Alegre do Maranhão;9.928
2100477;Alto Alegre do Pindaré;43.543
2100501;Alto Parnaíba;23.164
2100550;Amapá do Maranhão;10.478
2100600;Amarante do Maranhão;188.959
2100709;Anajatuba;17.830
2100808;Anapurus;1.501
2100832;Apicum-Açu;267
2100873;Araguanã;30.090
2100907;Araioses;7.965
2100956;Arame;71.378
2101004;Arari;27.718
2101103;Axixá;270
2100055;Açailândia;261.982
2101202;Bacabal;106.432
2101251;Bacabeira;3.117
2101301;Bacuri;1.676
2101350;Bacurituba;4.587
2101400;Balsas;44.778
2101608;Barra do Corda;77.047
2101707;Barreirinhas;3.260
2101509;Barão de Grajaú;5.457
2101772;Bela Vista do Maranhão;7.060
2101731;Belágua;358
2101806;Benedito Leite;7.772
2101905;Bequimão;8.793
2101939;Bernardo do Mearim;9.362
2101970;Boa Vista do Gurupi;9.371
2102002;Bom Jardim;89.393
2102036;Bom Jesus das Selvas;63.488
2102077;Bom Lugar;33.482
2102101;Brejo;10.376
2102150;Brejo de Areia;38.367
2102200;Buriti;5.768
2102309;Buriti Bravo;21.820
2102325;Buriticupu;70.358
2102358;Buritirana;54.176
2102374;Cachoeira Grande;468
2102408;Cajapió;3.180
2102507;Cajari;13.597
2102556;Campestre do Maranhão;41.775
2102705;Cantanhede;5.735
2102754;Capinzal do Norte;22.020
2102804;Carolina;86.610
2102903;Carutapera;7.914
2103000;Caxias;19.947
2103109;Cedral;568
2103125;Central do Maranhão;418
2103174;Centro Novo do Maranhão;32.302
2103158;Centro do Guilherme;24.175
2103208;Chapadinha;12.240
2103257;Cidelândia;76.634
2103307;Codó;62.975
2103406;Coelho Neto;2.164
2103505;Colinas;24.143
2103554;Conceição do Lago-Açu;13.091
2103604;Coroatá;25.889
2103703;Cururupu;802
2102606;Cândido Mendes;6.892
2103752;Davinópolis;13.407
2103802;Dom Pedro;15.225
2103901;Duque Bacelar;898
2104008;Esperantinópolis;15.223
2104057;Estreito;93.404
2104073;Feira Nova do Maranhão;56.457
2104081;Fernando Falcão;12.728
2104099;Formosa da Serra Negra;84.512
2104107;Fortaleza dos Nogueiras;53.326
2104206;Fortuna;11.714
2104305;Godofredo Viana;5.254
2104404;Gonçalves Dias;23.562
2104503;Governador Archer;20.970
2104552;Governador Edison Lobão;27.127
2104602;Governador Eugênio Barros;26.706
2104628;Governador Luiz Rocha;6.293
2104651;Governador Newton Bello;33.095
2104677;Governador Nunes Freire;17.067
2104800;Grajaú;127.714
2104701;Graça Aranha;9.007
2104909;Guimarães;529
2105005;Humberto de Campos;1.330
2105104;Icatu;666
2105203;Igarapé Grande;14.865
2105153;Igarapé do Meio;9.310
2105302;Imperatriz;67.583
2105351;Itaipava do Grajaú;29.050
2105401;Itapecuru Mirim;7.492
2105427;Itinga do Maranhão;97.861
2105450;Jatobá;7.870
2105476;Jenipapo dos Vieiras;37.867
2105609;Joselândia;14.515
2105500;João Lisboa;82.702
2105658;Junco do Maranhão;16.042
2105906;Lago Verde;34.043
2105708;Lago da Pedra;52.163
2105807;Lago do Junco;13.308
2105948;Lago dos Rodrigues;8.691
2105963;Lagoa Grande do Maranhão;25.819
2105922;Lagoa do Mato;17.950
2105989;Lajeado Novo;39.700
2106003;Lima Campos;7.419
2106102;Loreto;19.442
2106201;Luís Domingues;5.610
2106300;Magalhães de Almeida;6.286
2106326;Maracaçumé;22.528
2106359;Marajá do Sena;24.058
2106375;Maranhãozinho;28.508
2106409;Mata Roma;1.219
2106508;Matinha;17.770
2106607;Matões;12.490
2106631;Matões do Norte;12.333
2106672;Milagres do Maranhão;5.046
2106706;Mirador;26.833
2106755;Miranda do Norte;9.975
2106805;Mirinzal;1.499
2107001;Montes Altos;28.838
2106904;Monção;24.702
2107100;Morros;692
2107209;Nina Rodrigues;982
2107258;Nova Colinas;21.537
2107308;Nova Iorque;5.940
2107357;Nova Olinda do Maranhão;27.232
2107407;Olho d`Água das Cunhãs;54.575
2107456;Olinda Nova do Maranhão;4.976
2107605;Palmeirândia;6.219
2107704;Paraibano;10.917
2107803;Parnarama;50.040
2107902;Passagem Franca;17.653
2108009;Pastos Bons;19.410
2108058;Paulino Neves;2.742
2108108;Paulo Ramos;54.395
2107506;Paço do Lumiar;571
2108207;Pedreiras;5.654
2108256;Pedro do Rosário;52.102
2108306;Penalva;21.553
2108405;Peri Mirim;2.845
2108454;Peritoró;13.758
2108504;Pindaré-Mirim;8.739
2108603;Pinheiro;14.522
2108702;Pio XII;22.888
2108801;Pirapemas;7.108
2109007;Porto Franco;82.949
2109056;Porto Rico do Maranhão;334
2108900;Poção de Pedras;39.628
2109106;Presidente Dutra;34.823
2109205;Presidente Juscelino;271
2109239;Presidente Médici;12.800
2109270;Presidente Sarney;9.335
2109304;Presidente Vargas;890
2109403;Primeira Cruz;518
2109452;Raposa;243
2109502;Riachão;87.140
2109551;Ribamar Fiquene;35.894
2109601;Rosário;428
2109700;Sambaíba;13.970
2109759;Santa Filomena do Maranhão;17.206
2109809;Santa Helena;17.196
2109908;Santa Inês;31.889
2110005;Santa Luzia;136.724
2110039;Santa Luzia do Paruá;31.768
2110104;Santa Quitéria do Maranhão;2.881
2110203;Santa Rita;8.066
2110237;Santana do Maranhão;1.044
2110278;Santo Amaro do Maranhão;752
2110302;Santo Antônio dos Lopes;23.008
2111722;Satubinha;16.247
2111748;Senador Alexandre Costa;9.150
2111763;Senador La Rocque;49.366
2111789;Serrano do Maranhão;1.928
2111904;Sucupira do Norte;11.647
2111953;Sucupira do Riachão;3.771
2110401;São Benedito do Rio Preto;1.005
2110500;São Bento;4.352
2110609;São Bernardo;5.453
2110658;São Domingos do Azeitão;6.761
