Código;Nome;Valor
2200053;Acauã;6.157
2200103;Agricolândia;1.696
2200251;Alagoinha do Piauí;5.707
2200277;Alegrete do Piauí;3.648
2200301;Alto Longá;14.894
2200400;Altos;7.636
2200459;Alvorada do Gurguéia;7.382
2200509;Amarante;9.460
2200608;Angical do Piauí;4.037
2200806;Antônio Almeida;2.184
2200707;Anísio de Abreu;2.157
2200905;Aroazes;6.416
2200954;Aroeiras do Itaim;3.371
2201002;Arraial;3.379
2201051;Assunção do Piauí;4.533
2201101;Avelino Lopes;11.587
2201150;Baixa Grande do Ribeiro;13.805
2201176;Barra d`Alcântara;2.221
2201200;Barras;16.267
2201309;Barreiras do Piauí;4.647
2201408;Barro Duro;1.654
2201507;Batalha;15.833
2201556;Bela Vista do Piauí;5.802
2201572;Belém do Piauí;1.970
2201606;Beneditinos;4.919
2201705;Bertolínia;8.326
2201739;Betânia do Piauí;2.662
2201770;Boa Hora;1.696
2201804;Bocaina;3.442
2201903;Bom Jesus;27.183
2201919;Bom Princípio do Piauí;2.942
2201929;Bonfim do Piauí;1.696
2201945;Boqueirão do Piauí;1.329
2201960;Brasileira;3.874
2201988;Brejo do Piauí;5.731
2202000;Buriti dos Lopes;5.821
2202026;Buriti dos Montes;7.181
2202059;Cabeceiras do Piauí;5.883
2202075;Cajazeiras do Piauí;4.010
2202083;Cajueiro da Praia;1.059
2202091;Caldeirão Grande do Piauí;3.277
2202109;Campinas do Piauí;7.480
2202117;Campo Alegre do Fidalgo;2.398
2202133;Campo Grande do Piauí;2.134
2202174;Campo Largo do Piauí;4.300
2202208;Campo Maior;22.434
2202251;Canavieira;8.890
2202307;Canto do Buriti;9.487
2202455;Capitão Gervásio Oliveira;3.390
2202406;Capitão de Campos;4.001
2202505;Caracol;4.401
2202539;Caraúbas do Piauí;8.589
2202554;Caridade do Piauí;4.406
2202604;Castelo do Piauí;11.112
2202653;Caxingó;4.045
2202703;Cocal;7.289
2202711;Cocal de Telha;2.412
2202729;Cocal dos Alves;2.151
2202737;Coivaras;2.945
2202752;Colônia do Gurguéia;6.218
2202778;Colônia do Piauí;7.990
2202802;Conceição do Canindé;3.714
2202851;Coronel José Dias;2.811
2202901;Corrente;30.252
2203008;Cristalândia do Piauí;21.087
2203107;Cristino Castro;5.415
2203206;Curimatá;20.698
2203230;Currais;14.683
2203271;Curral Novo do Piauí;2.806
2203255;Curralinhos;3.672
2203305;Demerval Lobão;1.741
2203354;Dirceu Arcoverde;3.719
2203404;Dom Expedito Lopes;1.143
2203453;Dom Inocêncio;7.753
2203420;Domingos Mourão;3.182
2203503;Elesbão Veloso;15.474
2203602;Eliseu Martins;6.351
2203701;Esperantina;9.225
2203750;Fartura do Piauí;3.354
2203800;Flores do Piauí;4.741
2203859;Floresta do Piauí;2.641
2203909;Floriano;10.882
2204006;Francinópolis;3.022
2204105;Francisco Ayres;3.314
2204154;Francisco Macedo;1.621
2204204;Francisco Santos;3.690
2204303;Fronteiras;6.134
2204352;Geminiano;3.254
2204402;Gilbués;10.671
2204501;Guadalupe;5.283
2204550;Guaribas;2.128
2204600;Hugo Napoleão;1.306
2204659;Ilha Grande;1.593
2204709;Inhuma;7.020
2204808;Ipiranga do Piauí;3.969
2204907;Isaías Coelho;8.954
2205003;Itainópolis;7.509
2205102;Itaueira;14.178
2205151;Jacobina do Piauí;10.918
2205201;Jaicós;4.195
2205250;Jardim do Mulato;3.362
2205276;Jatobá do Piauí;7.416
2205300;Jerumenha;6.757
2205409;Joaquim Pires;11.402
2205458;Joca Marques;4.594
2205508;José de Freitas;14.443
2205359;João Costa;3.509
2205516;Juazeiro do Piauí;4.184
2205532;Jurema;2.619
2205524;Júlio Borges;11.912
2205557;Lagoa Alegre;1.850
2205573;Lagoa de São Francisco;1.187
2205565;Lagoa do Barro do Piauí;3.530
2205581;Lagoa do Piauí;3.076
2205599;Lagoa do Sítio;3.860
2205540;Lagoinha do Piauí;1.330
2205607;Landri Sales;7.566
2205805;Luzilândia;8.088
2205706;Luís Correia;8.959
2205854;Madeiro;4.341
2205904;Manoel Emídio;8.013
2205953;Marcolândia;723
2206001;Marcos Parente;5.726
2206050;Massapê do Piauí;2.836
2206100;Matias Olímpio;2.299
2206209;Miguel Alves;7.384
2206308;Miguel Leão;203
2206357;Milton Brandão;3.605
2206407;Monsenhor Gil;2.723
2206506;Monsenhor Hipólito;5.529
2206605;Monte Alegre do Piauí;24.805
2206654;Morro Cabeça no Tempo;6.159
2206670;Morro do Chapéu do Piauí;4.167
2206696;Murici dos Portelas;3.994
2206704;Nazaré do Piauí;6.730
2206720;Nazária;4.060
2206753;Nossa Senhora de Nazaré;3.844
2206803;Nossa Senhora dos Remédios;4.105
2207959;Nova Santa Rita;5.805
2206902;Novo Oriente do Piauí;7.201
2206951;Novo Santo Antônio;4.398
2207009;Oeiras;13.568
2207108;Olho d`Água do Piauí;2.801
2207207;Padre Marcos;2.340
2207306;Paes Landim;3.624
2207355;Pajeú do Piauí;5.106
2207405;Palmeira do Piauí;7.540
2207504;Palmeirais;5.985
2207553;Paquetá;2.419
2207603;Parnaguá;44.989
2207702;Parnaíba;6.201
2207751;Passagem Franca do Piauí;4.509
2207777;Patos do Piauí;5.313
2207793;Pau d`Arco do Piauí;1.910
2207801;Paulistana;9.591
2207850;Pavussu;2.306
2207900;Pedro II;5.829
2207934;Pedro Laurentino;5.143
2208007;Picos;9.051
2208106;Pimenteiras;15.167
2208205;Pio IX;7.348
2208304;Piracuruca;13.754
2208403;Piripiri;11.185
2208502;Porto;3.003
2208551;Porto Alegre do Piauí;6.388
2208601;Prata do Piauí;1.317
2208650;Queimada Nova;5.639
2208700;Redenção do Gurguéia;12.423
2208809;Regeneração;3.606
2208858;Riacho Frio;15.174
2208874;Ribeira do Piauí;6.539
2208908;Ribeiro Gonçalves;9.278
2209005;Rio Grande do Piauí;5.499
2209104;Santa Cruz do Piauí;5.627
2209153;Santa Cruz dos Milagres;19.214
2209203;Santa Filomena;14.381
2209302;Santa Luz;14.231
2209377;Santa Rosa do Piauí;5.429
2209351;Santana do Piauí;942
2209401;Santo Antônio de Lisboa;2.640
2209450;Santo Antônio dos Milagres;209
2209500;Santo Inácio do Piauí;5.300
2210623;Sebastião Barros;16.939
2210631;Sebastião Leal;7.888
2210656;Sigefredo Pacheco;7.211
2210805;Simplício Mendes;9.933
2210706;Simões;7.404
2210904;Socorro do Piauí;3.667
2210938;Sussuapara;2.221
2209559;São Braz do Piauí;1.303
2209658;São Francisco de Assis do Piauí;3.982
2209708;São Francisco do Piauí;5.943
2209609;São Félix do Piauí;6.039
2209757;São Gonçalo do Gurguéia;6.253
2209807;São Gonçalo do Piauí;2.392
2210052;São José do Divino;8.545
2210102;São José do Peixe;6.126
2210201;São José do Piauí;3.420
2209856;São João da Canabrava;1.201
2209872;São João da Fronteira;2.983
2209906;São João da Serra;8.812
2209955;São João da Varjota;1.468
2209971;São João do Arraial;2.325
2210003;São João do Piauí;6.280
2210300;São Julião;2.878
2210359;São Lourenço do Piauí;1.947
2210375;São Luis do Piauí;1.537
2210383;São Miguel da Baixa Grande;2.354
2210391;São Miguel do Fidalgo;3.455
2210409;São Miguel do Tapuio;16.060
2210508;São Pedro do Piauí;6.418
2210607;São Raimundo Nonato;4.562
2210953;Tamboril do Piauí;2.587
2210979;Tanque do Piauí;1.233
2211001;Teresina;9.627
2211100;União;10.153
2211209;Uruçuí;20.823
2211308;Valença do Piauí;6.771
2211506;Vera Mendes;2.286
2211605;Vila Nova do Piauí;3.568
2211357;Várzea Branca;2.541
2211407;Várzea Grande;1.542
2211704;Wall Ferraz;3.555
2200202;Água Branca;2.774
Fonte: IBGE, Censo Agropecuário 2017;;
