municipio;rebanho
      Abaíra;1886
      Abaré;4992
      Acajutiba;12523
      Adustina;13816
      Água Fria;7219
      Aiquara;13109
      Alagoinhas;17635
      Alcobaça;38199
      Almadina;9675
      Amargosa;24525
      Amélia Rodrigues;7794
      América Dourada;8942
      Anagé;26099
      Andaraí;17814
      Andorinha;13900
      Angical;103723
      Anguera;7056
      Antas;13473
      Antônio Cardoso;13154
      Antônio Gonçalves;3500
      Aporá;22390
      Apuarema;3779
      Araçás;4085
      Aracatu;33238
      Araci;18537
      Aramari;5326
      Arataca;1507
      Aratuípe;2341
      Aurelino Leal;19821
      Baianópolis;43493
      Baixa Grande;30695
      Banzaê;11367
      Barra;30000
      Barra da Estiva;13232
      Barra do Choça;21687
      Barra do Mendes;8452
      Barra do Rocha;6027
      Barreiras;80218
      Barro Alto;5695
      Barro Preto;4351
      Barrocas;5500
      Belmonte;30926
      Belo Campo;14549
      Biritinga;13518
      Boa Nova;15699
      Boa Vista do Tupim;52089
      Bom Jesus da Lapa;59635
      Bom Jesus da Serra;8481
      Boninal;8649
      Bonito;5847
      Boquira;9900
      Botuporã;16720
      Brejões;13771
      Brejolândia;89222
      Brotas de Macaúbas;11000
      Brumado;56556
      Buerarema;10100
      Buritirama;26960
      Caatiba;40098
      Cabaceiras do Paraguaçu;4567
      Cachoeira;8770
      Caculé;14714
      Caém;13786
      Caetanos;9179
      Caetité;23364
      Cafarnaum;6347
      Cairu;7
      Caldeirão Grande;7805
      Camacan;15052
      Camaçari;1546
      Camamu;1874
      Campo Alegre de Lourdes;12602
      Campo Formoso;36000
      Canápolis;21168
      Canarana;8873
      Canavieiras;38859
      Candeal;15714
      Candeias;5067
      Candiba;21897
      Cândido Sales;11607
      Cansanção;12129
      Canudos;4172
      Capela do Alto Alegre;24788
      Capim Grosso;16557
      Caraíbas;13327
      Caravelas;57065
      Cardeal da Silva;5067
      Carinhanha;65200
      Casa Nova;12362
      Castro Alves;31546
      Catolândia;12758
      Catu;11978
      Caturama;12205
      Central;6228
      Chorrochó;3519
      Cícero Dantas;24822
      Cipó;3981
      Coaraci;10731
      Cocos;48242
      Conceição da Feira;5312
      Conceição do Almeida;19156
      Conceição do Coité;18736
      Conceição do Jacuípe;8939
      Conde;15206
      Condeúba;14213
      Contendas do Sincorá;6065
      Coração de Maria;18243
      Cordeiros;6109
      Coribe;81581
      Coronel João Sá;24791
      Correntina;132371
      Cotegipe;94431
      Cravolândia;5236
      Crisópolis;18777
      Cristópolis;28759
      Cruz das Almas;4472
      Curaçá;6803
      Dário Meira;17830
      Dias d'Ávila;879
      Dom Basílio;11211
      Dom Macedo Costa;9313
      Elísio Medrado;10394
      Encruzilhada;32378
      Entre Rios;25980
      Érico Cardoso;1068
      Esplanada;19869
      Euclides da Cunha;39546
      Eunápolis;67075
      Fátima;12389
      Feira da Mata;31751
      Feira de Santana;43132
      Filadélfia;13682
      Firmino Alves;18789
      Floresta Azul;27980
      Formosa do Rio Preto;63414
      Gandu;2689
      Gavião;12700
      Gentio do Ouro;5422
      Glória;4138
      Gongogi;25119
      Governador Mangabeira;821
