municipio;rebanho
      Alcântara;4136
      Apicum-Açu;2280
      Bacuri;4811
      Bacurituba;6709
      Bequimão;7429
      Cajapió;5117
      Cedral;765
      Central do Maranhão;2738
      Cururupu;1683
      Guimarães;2080
      Mirinzal;2465
      Porto Rico do Maranhão;1167
      Serrano do Maranhão;5989
      Paço do Lumiar;664
      Raposa;437
      São José de Ribamar;1202
      São Luís;1178
      Axixá;435
      Bacabeira;4930
      Cachoeira Grande;1189
      Icatu;745
      Morros;1296
      Presidente Juscelino;870
      Rosário;1199
      Santa Rita;16655
      Barreirinhas;8343
      Humberto de Campos;1773
      Paulino Neves;3218
      Primeira Cruz;1359
      Santo Amaro do Maranhão;1551
      Tutóia;2725
      Anajatuba;52987
      Arari;37889
      Bela Vista do Maranhão;8478
      Cajari;12874
      Conceição do Lago-Açu;20410
      Igarapé do Meio;26302
      Matinha;18769
      Monção;45138
      Olinda Nova do Maranhão;6592
      Palmeirândia;4838
      Pedro do Rosário;22717
      Penalva;13294
      Peri Mirim;3828
      Pinheiro;32419
      Presidente Sarney;5256
      Santa Helena;14274
      São Bento;5245
      São João Batista;10921
      São Vicente Ferrer;7599
      Viana;20075
      Vitória do Mearim;25573
      Cantanhede;7658
      Itapecuru Mirim;17249
      Matões do Norte;17348
      Miranda do Norte;23582
      Nina Rodrigues;2051
      Pirapemas;13442
      Presidente Vargas;1338
      Vargem Grande;18420
      Amapá do Maranhão;10890
      Boa Vista do Gurupi;7980
      Cândido Mendes;4808
      Carutapera;13995
      Centro do Guilherme;26090
      Centro Novo do Maranhão;90234
      Godofredo Viana;3030
      Governador Nunes Freire;24956
      Junco do Maranhão;29304
      Luís Domingues;4320
      Maracaçumé;31945
      Maranhãozinho;37123
      Turiaçu;11016
      Turilândia;29083
      Altamira do Maranhão;40425
      Alto Alegre do Pindaré;60193
      Araguanã;23399
      Bom Jardim;159123
      Bom Jesus das Selvas;139529
      Brejo de Areia;27480
      Buriticupu;143789
      Governador Newton Bello;52915
      Lago da Pedra;95702
      Lagoa Grande do Maranhão;41037
      Marajá do Sena;43446
      Nova Olinda do Maranhão;35379
      Paulo Ramos;52514
      Pindaré-Mirim;14586
      Presidente Médici;29200
      Santa Inês;67744
      Santa Luzia;249087
      Santa Luzia do Paruá;63459
      São João do Carú;43869
      Tufilândia;17240
      Vitorino Freire;87945
      Zé Doca;137720
      Açailândia;340906
      Amarante do Maranhão;279813
      Buritirana;72312
      Cidelândia;99369
      Davinópolis;21968
      Governador Edison Lobão;41243
      Imperatriz;84913
      Itinga do Maranhão;113273
      João Lisboa;92765
      Lajeado Novo;52939
      Montes Altos;47627
      Ribamar Fiquene;59154
      São Francisco do Brejão;68617
      São Pedro da Água Branca;26062
      Senador La Rocque;94780
      Vila Nova dos Martírios;87378
      Bacabal;117575
      Bernardo do Mearim;17584
      Bom Lugar;59486
      Esperantinópolis;22568
      Igarapé Grande;27155
      Lago do Junco;14247
      Lago dos Rodrigues;16517
      Lago Verde;52835
      Lima Campos;9620
      Olho d'Água das Cunhãs;70654
      Pedreiras;19327
      Pio XII;35737
      Poção de Pedras;55193
      Santo Antônio dos Lopes;21619
      São Luís Gonzaga do Maranhão;76220
      São Mateus do Maranhão;40343
      São Raimundo do Doca Bezerra;8797
      São Roberto;8267
      Satubinha;25522
      Trizidela do Vale;12487
      Arame;153067
      Barra do Corda;137384
      Fernando Falcão;23287
      Formosa da Serra Negra;136153
      Grajaú;202849
      Itaipava do Grajaú;32661
      Jenipapo dos Vieiras;73657
      Joselândia;16744
      Santa Filomena do Maranhão;22598
      Sítio Novo;148387
      Tuntum;132127
      Dom Pedro;20642
      Fortuna;37230
      Gonçalves Dias;39864
      Governador Archer;34126
      Governador Eugênio Barros;28390
      Governador Luiz Rocha;13435
      Graça Aranha;10361
      Presidente Dutra;67930
      São Domingos do Maranhão;61548
      São José dos Basílios;14406
      Senador Alexandre Costa;16833
      Água Doce do Maranhão;1735
      Araioses;10925
      Magalhães de Almeida;7795
      Santa Quitéria do Maranhão;5670
      Santana do Maranhão;4215
      São Bernardo;12866
      Anapurus;1670
      Belágua;320
      Brejo;11150
      Buriti;7100
      Chapadinha;14550
      Mata Roma;2050
      Milagres do Maranhão;3150
      São Benedito do Rio Preto;1150
      Urbano Santos;1200
      Alto Alegre do Maranhão;18606
      Capinzal do Norte;22435
      Codó;115737
      Coroatá;46950
      Peritoró;34630
      Timbiras;10260
      Afonso Cunha;1220
      Aldeias Altas;4860
      Coelho Neto;5790
      Duque Bacelar;4273
      Buriti Bravo;36115
      Caxias;39175
      Matões;15084
      Parnarama;69101
      São João do Soter;11230
      Timon;21100
      Barão de Grajaú;13499
      Colinas;77355
      Jatobá;23545
      Lagoa do Mato;26550
      Mirador;47350
      Nova Iorque;9735
      Paraibano;23377
      Passagem Franca;36273
      Pastos Bons;28675
      São Francisco do Maranhão;19518
      São João dos Patos;31714
      Sucupira do Norte;17954
      Sucupira do Riachão;9746
    Porto Franco;554440
      Campestre do Maranhão;47739
      Carolina;109242
      Estreito;129649
      Porto Franco;96275
      São João do Paraíso;109188
      São Pedro dos Crentes;62347
      Alto Parnaíba;47494
      Balsas;78450
      Feira Nova do Maranhão;75404
      Riachão;119378
      Tasso Fragoso;20084
      Benedito Leite;15091
      Fortaleza dos Nogueiras;80287
      Loreto;33324
      Nova Colinas;41693
      Sambaíba;23927
      São Domingos do Azeitão;8044
      São Félix de Balsas;17828
      São Raimundo das Mangabeiras;37788
