municipio;rebanho
      Barras;15943
      Batalha;15517
      Boa Hora;1660
      Brasileira;4039
      Cabeceiras do Piauí;5785
      Campo Largo do Piauí;4224
      Esperantina;9022
      Joaquim Pires;11344
      Joca Marques;4703
      Luzilândia;7967
      Madeiro;4250
      Matias Olímpio;2261
      Miguel Alves;7328
      Morro do Chapéu do Piauí;4238
      Nossa Senhora dos Remédios;4033
      Piripiri;11965
      Porto;3003
      São João do Arraial;2281
      Bom Princípio do Piauí;3147
      Buriti dos Lopes;6225
      Cajueiro da Praia;1095
      Caraúbas do Piauí;8768
      Caxingó;4147
      Cocal;7124
      Cocal dos Alves;2110
      Ilha Grande;1702
      Luís Correia;8975
      Murici dos Portelas;4816
      Parnaíba;6088
      Piracuruca;14194
      São João da Fronteira;3067
      São José do Divino;9006
      Altos;7566
      Beneditinos;4882
      Coivaras;2875
      Curralinhos;3601
      Demerval Lobão;1750
      José de Freitas;14402
      Lagoa Alegre;1852
      Lagoa do Piauí;3057
      Miguel Leão;210
      Monsenhor Gil;2738
      Nazária;4245
      Pau D'Arco do Piauí;1873
      Teresina;10449
      União;10140
      Alto Longá;14619
      Assunção do Piauí;4451
      Boqueirão do Piauí;1309
      Buriti dos Montes;7026
      Campo Maior;21939
      Capitão de Campos;4115
      Castelo do Piauí;10935
      Cocal de Telha;2630
      Domingos Mourão;3108
      Jatobá do Piauí;7470
      Juazeiro do Piauí;4194
      Lagoa de São Francisco;1214
      Milton Brandão;3692
      Nossa Senhora de Nazaré;3774
      Novo Santo Antônio;4337
      Pedro II;5910
      São João da Serra;8634
      São Miguel do Tapuio;15705
      Sigefredo Pacheco;7122
      Agricolândia;1638
      Água Branca;2876
      Amarante;9378
      Angical do Piauí;5539
      Arraial;3350
      Barro Duro;1646
      Francisco Ayres;3626
      Hugo Napoleão;2114
      Jardim do Mulato;3311
      Lagoinha do Piauí;1444
      Olho D'Água do Piauí;3585
      Palmeirais;6258
      Passagem Franca do Piauí;4436
      Regeneração;5264
      Santo Antônio dos Milagres;267
      São Gonçalo do Piauí;2419
      São Pedro do Piauí;6463
      Aroazes;6701
      Barra D'Alcântara;2175
      Elesbão Veloso;16249
      Francinópolis;3016
      Inhuma;7632
      Lagoa do Sítio;3714
      Novo Oriente do Piauí;7102
      Pimenteiras;14450
      Prata do Piauí;1289
      Santa Cruz dos Milagres;19145
      São Félix do Piauí;5902
      São Miguel da Baixa Grande;2517
      Valença do Piauí;6649
      Várzea Grande;1650
      Baixa Grande do Ribeiro;13918
      Ribeiro Gonçalves;9361
      Santa Filomena;14680
      Uruçuí;20604
      Antônio Almeida;3642
      Bertolínia;9339
      Colônia do Gurguéia;6094
      Eliseu Martins;6257
      Landri Sales;7790
      Manoel Emídio;7701
      Marcos Parente;5572
      Porto Alegre do Piauí;6128
      Sebastião Leal;7951
      Canavieira;9779
      Flores do Piauí;4671
      Floriano;10831
      Guadalupe;5388
      Itaueira;13884
      Jerumenha;6914
      Nazaré do Piauí;6857
      Pavussu;2309
      Rio Grande do Piauí;5501
      São Francisco do Piauí;6092
      São José do Peixe;6051
      São Miguel do Fidalgo;3456
      Alvorada do Gurguéia;7263
      Barreiras do Piauí;4821
      Bom Jesus;26701
      Cristino Castro;5339
      Currais;14404
      Gilbués;10892
      Monte Alegre do Piauí;24164
      Palmeira do Piauí;7415
      Redenção do Gurguéia;12185
      Santa Luz;13862
      São Gonçalo do Gurguéia;6113
      Anísio de Abreu;2096
