municipio;rebanho
      Aguiarnópolis;11437
      Ananás;100256
      Angico;15104
      Araguatins;164853
      Augustinópolis;60615
      Axixá do Tocantins;34654
      Buriti do Tocantins;31320
      Cachoeirinha;8287
      Carrasco Bonito;20997
      Darcinópolis;21162
      Esperantina;23492
      Itaguatins;57239
      Luzinópolis;8465
      Maurilândia do Tocantins;20229
      Nazaré;18308
      Palmeiras do Tocantins;30586
      Praia Norte;21643
      Riachinho;35011
      Sampaio;11154
      Santa Terezinha do Tocantins;16351
      São Bento do Tocantins;28316
      São Miguel do Tocantins;20407
      São Sebastião do Tocantins;25606
      Sítio Novo do Tocantins;36280
      Tocantinópolis;21195
      Aragominas;95749
      Araguaína;251429
      Araguanã;83053
      Arapoema;158090
      Babaçulândia;63521
      Bandeirantes do Tocantins;149432
      Carmolândia;37864
      Colinas do Tocantins;119265
      Filadélfia;103502
      Muricilândia;69292
      Nova Olinda;74833
      Palmeirante;66007
      Pau D'Arco;91026
      Piraquê;98382
      Santa Fé do Araguaia;114790
      Wanderlândia;29787
      Xambioá;99083
      Abreulândia;69039
      Araguacema;65512
      Barrolândia;63800
      Bernardo Sayão;99841
      Brasilândia do Tocantins;32025
      Caseara;51181
      Colméia;94536
      Couto Magalhães;57197
      Divinópolis do Tocantins;120231
      Dois Irmãos do Tocantins;171314
      Fortaleza do Tabocão;61578
      Goianorte;102841
      Guaraí;118261
      Itaporã do Tocantins;100599
      Juarina;29552
      Marianópolis do Tocantins;86116
      Miracema do Tocantins;135868
      Miranorte;70240
      Monte Santo do Tocantins;76259
      Pequizeiro;97281
      Presidente Kennedy;40845
      Rio dos Bois;17230
      Tupirama;19838
      Tupiratins;14979
      Araguaçu;380160
      Chapada de Areia;32193
      Cristalândia;68301
      Dueré;160171
      Fátima;22836
      Formoso do Araguaia;316345
      Lagoa da Confusão;116235
      Nova Rosalândia;19892
      Oliveira de Fátima;10246
      Paraíso do Tocantins;87313
      Pium;183489
      Pugmil;15662
      Sandolândia;202676
      Aliança do Tocantins;76813
      Alvorada;52224
      Brejinho de Nazaré;47604
      Cariri do Tocantins;70877
      Crixás do Tocantins;49202
      Figueirópolis;97249
      Gurupi;100647
      Jaú do Tocantins;101553
      Palmeirópolis;66344
      Peixe;226723
      Santa Rita do Tocantins;99166
      São Salvador do Tocantins;28423
      Sucupira;54952
      Talismã;113011
      Aparecida do Rio Negro;18104
      Bom Jesus do Tocantins;31254
      Ipueiras;20143
      Lajeado;7025
      Monte do Carmo;70616
      Palmas;26502
      Pedro Afonso;24936
      Porto Nacional;120580
      Santa Maria do Tocantins;27712
      Silvanópolis;36521
      Tocantínia;16690
      Barra do Ouro;27822
      Campos Lindos;32887
      Centenário;20379
      Goiatins;58476
      Itacajá;81391
      Itapiratins;56045
      Lagoa do Tocantins;13072
      Lizarda;18701
      Mateiros;7830
      Novo Acordo;11905
      Ponte Alta do Tocantins;78980
      Recursolândia;39864
      Rio Sono;52735
      Santa Tereza do Tocantins;21786
      São Félix do Tocantins;3635
      Almas;63065
      Arraias;200700
      Aurora do Tocantins;45350
      Chapada da Natividade;35465
      Combinado;25170
      Conceição do Tocantins;33220
      Dianópolis;56500
      Lavandeira;23120
      Natividade;78500
      Novo Alegre;25100
      Novo Jardim;12350
      Paranã;140183
      Pindorama do Tocantins;52862
      Ponte Alta do Bom Jesus;37465
      Porto Alegre do Tocantins;9080
      Rio da Conceição;1465
      Santa Rosa do Tocantins;31867
      São Valério;50859
      Taguatinga;114700
      Taipas do Tocantins;22650
