codigo;Nome;rebanho_Censo2017;Novo_Nome;rebanho_PPM2020
2900108;Abaíra;4388;Abaíra;1886
2900207;Abaré;6067;Abaré;4992
2900306;Acajutiba;11345;Acajutiba;12523
2900355;Adustina;15344;Adustina;13816
2900405;Ãgua Fria;7418;Água Fria;7219
2900603;Aiquara;8499;Aiquara;13109
2900702;Alagoinhas;8032;Alagoinhas;17635
2900801;AlcobaÃ§a;26692;Alcobaça;38199
2900900;Almadina;8711;Almadina;9675
2901007;Amargosa;21086;Amargosa;24525
2901106;Amélia Rodrigues;5474;Amélia Rodrigues;7794
2901155;América Dourada;9409;América Dourada;8942
2901205;Anagé;19224;Anagé;26099
2901304;AndaraÃ­;14067;Andaraí;17814
2901353;Andorinha;15992;Andorinha;13900
2901403;Angical;58026;Angical;103723
2901502;Anguera;5579;Anguera;7056
2901601;Antas;17434;Antas;13473
2901700;Antônio Cardoso;10017;Antônio Cardoso;13154
2901809;Antônio GonÃ§alves;5422;Antônio Gonçalves;3500
2901908;AporÃ¡;25205;Aporá;22390
2901957;Apuarema;2476;Apuarema;3779
2902054;NA;5298;Araçás;4085
2902005;Aracatu;28199;Aracatu;33238
2902104;Araci;18004;Araci;18537
2902203;Aramari;5924;Aramari;5326
2902252;Arataca;708;Arataca;1507
2902302;AratuÃ­pe;4303;Aratuípe;2341
2902401;Aurelino Leal;22701;Aurelino Leal;19821
2902500;BaianÃ³polis;37097;Baianópolis;43493
2902609;Baixa Grande;28818;Baixa Grande;30695
2902658;BanzaÃª;8507;Banzaê;11367
2902708;Barra;17448;Barra;30000
2902807;Barra da Estiva;13798;Barra da Estiva;13232
2902906;Barra do ChoÃ§a;23349;Barra do Choça;21687
2903003;Barra do Mendes;11049;Barra do Mendes;8452
2903102;Barra do Rocha;5625;Barra do Rocha;6027
2903201;Barreiras;44407;Barreiras;80218
2903235;Barro Alto;5517;Barro Alto;5695
2903300;Barro Preto;5331;Barro Preto;4351
2903276;Barrocas;3832;Barrocas;5500
2903409;Belmonte;34213;Belmonte;30926
2903508;Belo Campo;7925;Belo Campo;14549
2903607;Biritinga;9446;Biritinga;13518
2903706;Boa Nova;13698;Boa Nova;15699
2903805;Boa Vista do Tupim;43753;Boa Vista do Tupim;52089
2903904;Bom Jesus da Lapa;40363;Bom Jesus da Lapa;59635
2903953;Bom Jesus da Serra;5699;Bom Jesus da Serra;8481
2904001;Boninal;8386;Boninal;8649
2904050;Bonito;6502;Bonito;5847
2904100;Boquira;19314;Boquira;9900
2904209;BotuporÃ£;15.91;Botuporã;16720
2904308;BrejÃµes;7202;Brejões;13771
2904407;BrejolÃ¢ndia;48737;Brejolândia;89222
2904506;Brotas de Macaúbas;10058;Brotas de Macaúbas;11000
2904605;Brumado;36557;Brumado;56556
2904704;Buerarema;3382;Buerarema;10100
2904753;Buritirama;19.49;Buritirama;26960
2904803;Caatiba;27.8;Caatiba;40098
2904852;Cabaceiras do ParaguaÃ§u;4982;Cabaceiras do Paraguaçu;4567
2904902;Cachoeira;10692;Cachoeira;8770
2905008;Caculé;12776;Caculé;14714
2905107;Caém;13658;Caém;13786
2905156;Caetanos;11025;Caetanos;9179
2905206;Caetité;24875;Caetité;23364
2905305;Cafarnaum;5627;Cafarnaum;6347
2905404;Cairu;44;Cairu;7
2905503;CaldeirÃ£o Grande;10609;Caldeirão Grande;7805
2905602;Camacan;10714;Camacan;15052
2905701;CamaÃ§ari;4197;Camaçari;1546
2905800;Camamu;1589;Camamu;1874
2905909;Campo Alegre de Lourdes;16.78;Campo Alegre de Lourdes;12602
2906006;Campo Formoso;30622;Campo Formoso;36000
2906105;CanÃ¡polis;15623;Canápolis;21168
2906204;Canarana;7633;Canarana;8873
2906303;Canavieiras;41333;Canavieiras;38859
2906402;Candeal;10.15;Candeal;15714
2906501;Candeias;3.95;Candeias;5067
2906600;Candiba;17402;Candiba;21897
2906709;CÃ¢ndido Sales;10483;Cândido Sales;11607
2906808;CansanÃ§Ã£o;16.68;Cansanção;12129
2906824;Canudos;8.34;Canudos;4172
