codigo;Nome;rebanho_Censo2017;Novo_Nome;rebanho_PPM2020
2100055;A√ßail√¢ndia;261.982;AÁail‚ndia;340906
2100105;Afonso Cunha;730;Afonso Cunha;1220
2100154;√Ågua Doce do Maranh√£o;1.692;¡gua Doce do Maranh„o;1735
2100204;Alc√¢ntara;2.199;Alc‚ntara;4136
2100303;Aldeias Altas;3.938;Aldeias Altas;4860
2100402;Altamira do Maranh√£o;24.38;Altamira do Maranh„o;40425
2100436;Alto Alegre do Maranh√£o;9.928;Alto Alegre do Maranh„o;18606
2100477;Alto Alegre do Pindar√©;43.543;Alto Alegre do PindarÈ;60193
2100501;Alto Parna√≠ba;23.164;Alto ParnaÌba;47494
2100550;Amap√° do Maranh√£o;10.478;Amap· do Maranh„o;10890
2100600;Amarante do Maranh√£o;188.959;Amarante do Maranh„o;279813
2100709;Anajatuba;17.83;Anajatuba;52987
2100808;Anapurus;1.501;Anapurus;1670
2100832;Apicum-A√ßu;267;Apicum-AÁu;2280
2100873;Araguan√£;30.09;Araguan„;23399
2100907;Araioses;7.965;Araioses;10925
2100956;Arame;71.378;Arame;153067
2101004;Arari;27.718;Arari;37889
2101103;Axix√°;270;Axix·;435
2101202;Bacabal;106.432;Bacabal;117575
2101251;Bacabeira;3.117;Bacabeira;4930
2101301;Bacuri;1.676;Bacuri;4811
2101350;Bacurituba;4.587;Bacurituba;6709
2101400;Balsas;44.778;Balsas;78450
2101509;Bar√£o de Graja√∫;5.457;Bar„o de Graja˙;13499
2101608;Barra do Corda;77.047;Barra do Corda;137384
2101707;Barreirinhas;3.26;Barreirinhas;8343
2101772;Bela Vista do Maranh√£o;7.06;Bela Vista do Maranh„o;8478
2101731;Bel√°gua;358;Bel·gua;320
2101806;Benedito Leite;7.772;Benedito Leite;15091
2101905;Bequim√£o;8.793;Bequim„o;7429
2101939;Bernardo do Mearim;9.362;Bernardo do Mearim;17584
2101970;Boa Vista do Gurupi;9.371;Boa Vista do Gurupi;7980
2102002;Bom Jardim;89.393;Bom Jardim;159123
2102036;Bom Jesus das Selvas;63.488;Bom Jesus das Selvas;139529
2102077;Bom Lugar;33.482;Bom Lugar;59486
2102101;Brejo;10.376;Brejo;11150
2102150;Brejo de Areia;38.367;Brejo de Areia;27480
2102200;Buriti;5.768;Buriti;7100
2102309;Buriti Bravo;21.82;Buriti Bravo;36115
2102325;Buriticupu;70.358;Buriticupu;143789
2102358;Buritirana;54.176;Buritirana;72312
2102374;Cachoeira Grande;468;Cachoeira Grande;1189
