codigo;Nome;rebanho_Censo2017;Novo_Nome;rebanho_PPM2020
2200053;Acau√£;6.157;Acau„;6356
2200103;Agricol√¢ndia;1.696;Agricol‚ndia;1638
2200202;√Ågua Branca;2.774;¡gua Branca;2876
2200251;Alagoinha do Piau√≠;5.707;Alagoinha do PiauÌ;5661
2200277;Alegrete do Piau√≠;3.648;Alegrete do PiauÌ;3665
2200301;Alto Long√°;14.894;Alto Long·;14619
2200400;Altos;7.636;Altos;7566
2200459;Alvorada do Gurgu√©ia;7.382;Alvorada do GurguÈia;7263
2200509;Amarante;9.46;Amarante;9378
2200608;Angical do Piau√≠;4.037;Angical do PiauÌ;5539
2200707;An√≠sio de Abreu;2.157;AnÌsio de Abreu;2096
2200806;Ant√¥nio Almeida;2.184;AntÙnio Almeida;3642
2200905;Aroazes;6.416;Aroazes;6701
2200954;Aroeiras do Itaim;3.371;Aroeiras do Itaim;3311
2201002;Arraial;3.379;Arraial;3350
2201051;Assun√ß√£o do Piau√≠;4.533;AssunÁ„o do PiauÌ;4451
2201101;Avelino Lopes;11.587;Avelino Lopes;11489
2201150;Baixa Grande do Ribeiro;13.805;Baixa Grande do Ribeiro;13918
2201176;Barra d`Alc√¢ntara;2.221;Barra d'Alc‚ntara;2175
2201200;Barras;16.267;Barras;15943
2201309;Barreiras do Piau√≠;4.647;Barreiras do PiauÌ;4821
2201408;Barro Duro;1.654;Barro Duro;1646
2201507;Batalha;15.833;Batalha;15517
2201556;Bela Vista do Piau√≠;5.802;Bela Vista do PiauÌ;5926
2201572;Bel√©m do Piau√≠;1.97;BelÈm do PiauÌ;1973
2201606;Beneditinos;4.919;Beneditinos;4882
2201705;Bertol√≠nia;8.326;BertolÌnia;9339
2201739;Bet√¢nia do Piau√≠;2.662;Bet‚nia do PiauÌ;2608
2201770;Boa Hora;1.696;Boa Hora;1660
2201804;Bocaina;3.442;Bocaina;3385
2201903;Bom Jesus;27.183;Bom Jesus;26701
2201919;Bom Princ√≠pio do Piau√≠;2.942;Bom PrincÌpio do PiauÌ;3147
2201929;Bonfim do Piau√≠;1.696;Bonfim do PiauÌ;1646
2201945;Boqueir√£o do Piau√≠;1.329;Boqueir„o do PiauÌ;1309
2201960;Brasileira;3.874;Brasileira;4039
2201988;Brejo do Piau√≠;5.731;Brejo do PiauÌ;5611
2202000;Buriti dos Lopes;5.821;Buriti dos Lopes;6225
2202026;Buriti dos Montes;7.181;Buriti dos Montes;7026
2202059;Cabeceiras do Piau√≠;5.883;Cabeceiras do PiauÌ;5785
2202075;Cajazeiras do Piau√≠;4.01;Cajazeiras do PiauÌ;4090
2202083;Cajueiro da Praia;1.059;Cajueiro da Praia;1095
2202091;Caldeir√£o Grande do Piau√≠;3.277;Caldeir„o Grande do PiauÌ;3235
2202109;Campinas do Piau√≠;7.48;Campinas do PiauÌ;7420
2202117;Campo Alegre do Fidalgo;2.398;Campo Alegre do Fidalgo;2455
2202133;Campo Grande do Piau√≠;2.134;Campo Grande do PiauÌ;2101
2202174;Campo Largo do Piau√≠;4.3;Campo Largo do PiauÌ;4224
2202208;Campo Maior;22.434;Campo Maior;21939
2202251;Canavieira;8.89;Canavieira;9779
2202307;Canto do Buriti;9.487;Canto do Buriti;9287
2202406;Capit√£o de Campos;4.001;Capit„o de Campos;4115
2202455;Capit√£o Gerv√°sio Oliveira;3.39;Capit„o Gerv·sio Oliveira;5405
2202505;Caracol;4.401;Caracol;4285
2202539;Cara√∫bas do Piau√≠;8.589;Cara˙bas do PiauÌ;8768
2202554;Caridade do Piau√≠;4.406;Caridade do PiauÌ;4332
2202604;Castelo do Piau√≠;11.112;Castelo do PiauÌ;10935
2202653;Caxing√≥;4.045;CaxingÛ;4147
2202703;Cocal;7.289;Cocal;7124
2202711;Cocal de Telha;2.412;Cocal de Telha;2630
2202729;Cocal dos Alves;2.151;Cocal dos Alves;2110
2202737;Coivaras;2.945;Coivaras;2875
2202752;Col√¥nia do Gurgu√©ia;6.218;ColÙnia do GurguÈia;6094
2202778;Col√¥nia do Piau√≠;7.99;ColÙnia do PiauÌ;7802
2202802;Concei√ß√£o do Canind√©;3.714;ConceiÁ„o do CanindÈ;3790
2202851;Coronel Jos√© Dias;2.811;Coronel JosÈ Dias;2760
2202901;Corrente;30.252;Corrente;29416
2203008;Cristal√¢ndia do Piau√≠;21.087;Cristal‚ndia do PiauÌ;20492
2203107;Cristino Castro;5.415;Cristino Castro;5339
